,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
5782,Demolition Racer,PS,1998.0,Racing,Infogrames,0.17,0.12,0.0,0.02,0.31,,,,,,
5783,Midway Arcade Treasures 2,XB,2004.0,Misc,Midway Games,0.24,0.05,0.0,0.01,0.31,74.0,38.0,7.4,7.0,Backbone Entertainment,M
5784,Final Fantasy IV,PS,1997.0,Simulation,SquareSoft,0.0,0.0,0.29,0.02,0.31,,,,,,
5785,The Incredible Hulk,Wii,2008.0,Action,Sega,0.28,0.01,0.0,0.02,0.31,46.0,21.0,,,Edge of Reality,T
5786,NASCAR Thunder 2003,GC,2002.0,Racing,Electronic Arts,0.24,0.06,0.0,0.01,0.31,85.0,12.0,6.6,5.0,EA Sports,E
5787,SD Gundam G Generation: Overworld,PSP,2012.0,Strategy,Namco Bandai Games,0.0,0.0,0.31,0.0,0.31,,,,,,
5788,Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012.0,Role-Playing,Atlus,0.13,0.02,0.14,0.01,0.31,,,,,,
5789,Mega Man Zero Collection,DS,2010.0,Platform,Capcom,0.17,0.01,0.11,0.02,0.31,78.0,15.0,8.9,39.0,"Inti, Inti Creates",E
5790,SingStar Take That,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.28,0.0,0.03,0.31,,,,,,
5791,NHL FaceOff 2000,PS,1998.0,Sports,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31,,,,,,
5792,Pro Evolution Soccer 2013,X360,2012.0,Sports,Konami Digital Entertainment,0.08,0.2,0.0,0.03,0.31,82.0,33.0,6.9,77.0,Konami,E
5793,Star Wars Racer Revenge,PS2,2002.0,Racing,LucasArts,0.15,0.12,0.0,0.04,0.31,73.0,34.0,8.5,11.0,Rainbow Studios,E
5794,Yu-Gi-Oh! 5D's World Championship 2010 Reverse of Arcadia,DS,2010.0,Strategy,Konami Digital Entertainment,0.18,0.01,0.09,0.02,0.31,,,,,,
5795,NCAA Final Four 2002,PS2,2001.0,Sports,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31,52.0,14.0,6.5,8.0,989 Sports,E
5796,South Park: Chef's Luv Shack,PS,1998.0,Misc,Acclaim Entertainment,0.17,0.12,0.0,0.02,0.31,,,,,,
5797,Cabela's Outdoor Adventures (2009),Wii,2009.0,Sports,Activision Value,0.28,0.0,0.0,0.02,0.31,,,7.8,4.0,FUN Labs,T
5798,Music Maker,PS2,2001.0,Misc,Magix,0.15,0.12,0.0,0.04,0.31,,,,,Magix,E
5799,Slot Machine,2600,,Action,Atari,0.29,0.02,0.0,0.0,0.31,,,,,,
5800,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993.0,Platform,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31,,,,,,
5801,Shrek's Carnival Craze Party Games,Wii,2008.0,Misc,Activision,0.28,0.0,0.0,0.02,0.31,,,,,,
5802,Astroblast,2600,1981.0,Action,Mattel Interactive,0.29,0.02,0.0,0.0,0.31,,,,,,
5803,40 Winks,PS,1999.0,Platform,GT Interactive,0.17,0.12,0.0,0.02,0.31,,,,,,
5804,Blade II,PS2,2002.0,Action,Activision,0.15,0.12,0.0,0.04,0.31,49.0,21.0,6.1,14.0,Mucky Foot Productions,M
5805,Calvin Tucker's Redneck Jamboree,Wii,2008.0,Misc,Zoo Games,0.28,0.0,0.0,0.02,0.31,26.0,6.0,,,Humagade,E10+
5806,My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,DS,2009.0,Misc,Mentor Interactive,0.29,0.0,0.0,0.02,0.31,,,,,,
5807,TRON: Evolution,X360,2010.0,Action,Disney Interactive Studios,0.24,0.05,0.0,0.02,0.31,58.0,51.0,6.0,41.0,Propaganda Games,T
5808,A Collection of Classic Games from the Intellivision,PS,1999.0,Misc,Activision,0.17,0.12,0.0,0.02,0.31,,,,,,
5809,Math Play,DS,2006.0,Puzzle,Ubisoft,0.28,0.0,0.0,0.02,0.31,,,,,Denyu-Sha,E
5810,Bruce Lee: Quest of the Dragon,XB,2002.0,Fighting,Universal Interactive,0.23,0.07,0.0,0.01,0.31,32.0,24.0,2.4,10.0,Ronin Entertainment,T
5811,Spin Jam,PS,2000.0,Puzzle,Empire Interactive,0.17,0.12,0.0,0.02,0.31,,,,,,
5812,KuruKuru Kururin,GBA,2001.0,Puzzle,Nintendo,0.0,0.0,0.3,0.01,0.31,,,,,,
5813,Disney's The Emperor's New Groove,PS,2000.0,Platform,Sony Computer Entertainment,0.17,0.12,0.0,0.02,0.31,66.0,8.0,7.2,6.0,Disney Interactive,E
5814,Dragon Ball Z: Battle of Z,PS3,2014.0,Fighting,Namco Bandai Games,0.1,0.1,0.06,0.04,0.31,54.0,32.0,5.3,103.0,Artdink,T
5815,DmC: Devil May Cry,PS4,2015.0,Action,Capcom,0.12,0.13,0.0,0.05,0.31,,,,,,
5816,Disney's Stitch: Experiment 626,PS2,2002.0,Action,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.31,59.0,17.0,7.8,4.0,High Voltage Software,E
5817,RPG Tsukuru 2,SNES,1996.0,Role-Playing,ASCII Entertainment,0.0,0.0,0.31,0.0,0.31,,,,,,
5818,Yuu Yuu Hakusho 2: Kakutou no Sho,SNES,1994.0,Fighting,Namco Bandai Games,0.0,0.0,0.31,0.0,0.31,,,,,,
5819,Orphen: Scion of Sorcery,PS2,2000.0,Role-Playing,Activision,0.15,0.12,0.0,0.04,0.31,54.0,15.0,5.8,8.0,Shade,T
5820,NBA Live 08,PSP,2007.0,Sports,Electronic Arts,0.28,0.0,0.0,0.02,0.31,73.0,11.0,6.2,5.0,EA Canada,E
5821,Star Wars Episode III: Revenge of the Sith,DS,2005.0,Action,Ubisoft,0.25,0.03,0.0,0.02,0.3,73.0,22.0,7.8,19.0,Ubisoft,E10+
5822,Ultimate Spider-Man,GBA,2005.0,Action,Activision,0.22,0.08,0.0,0.01,0.3,62.0,4.0,7.3,12.0,Vicarious Visions,E10+
5823,Midtown Madness 3,XB,2003.0,Racing,Microsoft Game Studios,0.23,0.07,0.0,0.01,0.3,76.0,41.0,8.3,30.0,Digital Illusions,E
5824,Shrek Swamp Kart Speedway,GBA,2002.0,Racing,TDK Mediactive,0.22,0.08,0.0,0.01,0.3,27.0,5.0,8.9,19.0,Prolific,E
5825,Gameboy Gallery,GB,1995.0,Misc,Nintendo,0.0,0.0,0.3,0.0,0.3,,,,,,
5826,Contra 4,DS,2007.0,Shooter,Konami Digital Entertainment,0.28,0.0,0.01,0.02,0.3,83.0,38.0,8.4,45.0,WayForward,T
5827,Virtua Cop 2,SAT,1996.0,Shooter,Sega,0.0,0.0,0.3,0.0,0.3,,,,,,
5828,Ehrgeiz,PS,1998.0,Fighting,SquareSoft,0.17,0.12,0.0,0.02,0.3,,,,,,
5829,Touhoku Daigaku Mirai Kagaku Gijutsu Kyoudou Kenkyuu Center Kawashima Ryuuta Kyouju Kanshu: Nou Ryoku Trainer Portable,PSP,2005.0,Misc,Sega,0.0,0.0,0.3,0.0,0.3,,,,,,
5830,Spyro: Attack of the Rhynocs,GBA,2003.0,Platform,Universal Interactive,0.22,0.08,0.0,0.01,0.3,72.0,13.0,7.5,15.0,Digital Eclipse,E
5831,Monsters vs. Aliens,PS3,2009.0,Action,Activision,0.21,0.05,0.0,0.04,0.3,66.0,18.0,4.5,4.0,Beenox,E10+
5832,"Army Men World War: Land, Sea, Air",PS,2000.0,Action,3DO,0.17,0.12,0.0,0.02,0.3,,,,,,
5833,NASCAR 2011: The Game,X360,2011.0,Racing,Activision,0.29,0.0,0.0,0.02,0.3,62.0,24.0,4.1,14.0,Eutechnyx,E
5834,BlazBlue: Chrono Phantasma,PS3,2013.0,Fighting,Arc System Works,0.14,0.0,0.14,0.03,0.3,83.0,16.0,8.3,64.0,Arc System Works,T
5835,Dai-2-Ji Super Robot Taisen OG,PS3,2012.0,Strategy,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,,,,,,
5836,Naruto: Ninja Destiny (US sales),DS,2006.0,Fighting,Namco Bandai Games,0.3,0.0,0.0,0.0,0.3,,,,,,
5837,Kingdoms of Amalur: Reckoning,PC,2012.0,Role-Playing,Electronic Arts,0.14,0.13,0.0,0.03,0.3,81.0,25.0,6.6,1097.0,Big Huge Games,M
5838,Jumping Flash!,PS,1995.0,Platform,Sony Computer Entertainment,0.05,0.03,0.21,0.02,0.3,,,,,,
5839,Mario Party: Star Rush,3DS,2016.0,Misc,Nintendo,0.08,0.13,0.08,0.02,0.3,68.0,37.0,6.8,16.0,"Nintendo, Nd Cube",E
5840,Karaoke Revolution Party,PS2,2005.0,Misc,Konami Digital Entertainment,0.15,0.12,0.0,0.04,0.3,78.0,25.0,,,Harmonix Music Systems,E10+
5841,Burnout,GC,2002.0,Racing,Acclaim Entertainment,0.23,0.06,0.0,0.01,0.3,78.0,18.0,7.9,18.0,Criterion Games,E
5842,Lizzie McGuire 3: Homecoming Havoc,GBA,2005.0,Platform,Disney Interactive Studios,0.22,0.08,0.0,0.01,0.3,59.0,6.0,,,Climax Group,E
5843,Chaos Legion,PS2,2003.0,Action,Capcom,0.15,0.12,0.0,0.04,0.3,65.0,34.0,8.2,58.0,Capcom,T
5844,Puyo Puyo 7,DS,2009.0,Puzzle,Sega,0.0,0.0,0.3,0.0,0.3,,,,,,
5845,Charlie and the Chocolate Factory,GBA,2005.0,Adventure,Global Star,0.22,0.08,0.0,0.01,0.3,36.0,5.0,3.8,6.0,"High Voltage Software, Backbone Entertainment",E
5846,Neopets: The Darkest Faerie,PS2,2005.0,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,61.0,18.0,8.5,30.0,Idol Minds,E10+
5847,Blazing Heroes,SAT,1995.0,Role-Playing,Sega,0.0,0.0,0.3,0.0,0.3,,,,,,
5848,Naruto Shippuden: Ultimate Ninja Storm 4,XOne,2016.0,Fighting,Namco Bandai Games,0.21,0.07,0.0,0.03,0.3,81.0,11.0,8.5,51.0,CyberConnect2,T
5849,Rhythm Tengoku,GBA,2006.0,Misc,Nintendo,0.0,0.0,0.3,0.01,0.3,,,,,,
5850,Super Robot Taisen W,DS,2007.0,Strategy,Banpresto,0.0,0.0,0.3,0.0,0.3,,,,,,
5851,Cart World Series,PS,1997.0,Racing,Sony Computer Entertainment,0.17,0.11,0.0,0.02,0.3,,,,,,
5852,Shrek: Forever After,DS,2010.0,Platform,Activision,0.18,0.1,0.0,0.03,0.3,,,,,,
5853,Batman: Arkham VR,PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3,75.0,59.0,7.3,89.0,Rocksteady Studios,M
5854,Lumines ll,PSP,2006.0,Puzzle,Disney Interactive Studios,0.12,0.12,0.0,0.07,0.3,,,,,,
5855,24: The Game,PS2,2006.0,Adventure,Sony Computer Entertainment,0.15,0.12,0.0,0.04,0.3,62.0,53.0,8.2,40.0,SCE Studio Cambridge,M
5856,The Dukes of Hazzard II: Daisy Dukes It Out,PS,,Racing,Unknown,0.17,0.11,0.0,0.02,0.3,53.0,5.0,,,Sinister Games,E
5857,Famista '91,NES,1990.0,Sports,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,,,,,,
5858,Madagascar,DS,2005.0,Platform,Activision,0.25,0.03,0.0,0.02,0.3,,,,,,
5859,The King of Fighters XIII,PS3,2011.0,Fighting,Rising Star Games,0.17,0.06,0.04,0.03,0.3,77.0,26.0,8.2,76.0,SNK Playmore,T
5860,Sniper Elite 3,X360,2014.0,Shooter,505 Games,0.16,0.12,0.0,0.03,0.3,,,6.6,26.0,Rebellion,M
5861,Super Robot Taisen OG: Original Generations Gaiden,PS2,2007.0,Strategy,Banpresto,0.0,0.0,0.3,0.0,0.3,,,,,,
5862,Lego Batman 3: Beyond Gotham,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.05,0.19,0.0,0.07,0.3,,,7.7,12.0,TT Games,E10+
5863,Decathlete,SAT,1994.0,Sports,Sega,0.0,0.0,0.3,0.0,0.3,,,,,,
5864,Tom Clancy's Splinter Cell 3D,3DS,2011.0,Action,Ubisoft,0.14,0.07,0.07,0.02,0.3,53.0,32.0,5.5,26.0,Ubisoft,T
5865,Magna Carta 2,X360,2009.0,Role-Playing,Banpresto,0.13,0.07,0.07,0.02,0.3,69.0,49.0,7.0,57.0,"Banpresto, SoftMax",T
5866,Looney Tunes: Duck Amuck,DS,2007.0,Action,Warner Bros. Interactive Entertainment,0.28,0.0,0.0,0.02,0.3,66.0,16.0,,,WayForward,E
5867,Shin Megami Tensei: Persona 2: Innocent Sin,PSP,2011.0,Role-Playing,Atlus,0.13,0.03,0.11,0.03,0.3,,,,,,
5868,Romance of the Three Kingdoms VIII,PS2,2002.0,Strategy,Tecmo Koei,0.05,0.04,0.19,0.01,0.3,77.0,14.0,8.9,17.0,Koei,E
5869,Fossil Fighters (JP sales),DS,2008.0,Role-Playing,Nintendo,0.0,0.0,0.3,0.0,0.3,,,,,,
5870,Daikaijyuu Monogatari,SNES,1994.0,Role-Playing,Hudson Soft,0.0,0.0,0.3,0.0,0.3,,,,,,
5871,Hard Hitter Tennis,PS2,2001.0,Sports,Midas Interactive Entertainment,0.15,0.11,0.0,0.04,0.3,,,,,Mahou,E
5872,F1 2013,X360,2013.0,Racing,Codemasters,0.01,0.27,0.0,0.02,0.3,79.0,29.0,6.6,33.0,Codemasters,E
5873,Harvest Moon: The Tale of Two Towns,3DS,,Simulation,Unknown,0.28,0.0,0.0,0.02,0.3,,,,,,
5874,Quake II,N64,1999.0,Shooter,Activision,0.24,0.06,0.0,0.0,0.3,,,,,,
5875,Monster Truck Madness 64,N64,1999.0,Racing,Take-Two Interactive,0.24,0.06,0.0,0.0,0.3,,,,,,
5876,Crazy Taxi: Catch a Ride,GBA,2003.0,Racing,THQ,0.21,0.08,0.0,0.01,0.3,48.0,14.0,5.9,8.0,Graphic State,E
5877,Nounai Aeshe: IQ Suppli DS,DS,2006.0,Misc,Spike,0.0,0.0,0.3,0.0,0.3,,,,,,
5878,Final Fantasy XI: Wings of the Goddess,X360,2007.0,Role-Playing,Square Enix,0.26,0.0,0.02,0.02,0.3,63.0,4.0,5.8,5.0,Square Enix,T
5879,PowerUp Heroes,X360,2011.0,Fighting,Ubisoft,0.18,0.09,0.0,0.03,0.3,61.0,13.0,7.5,10.0,Ubisoft,E10+
5880,Jonas,DS,2009.0,Adventure,Disney Interactive Studios,0.27,0.0,0.0,0.02,0.3,45.0,4.0,,,Altron,E
5881,Macross Digital Mission VF-X,PS,1997.0,Simulation,Namco Bandai Games,0.0,0.0,0.28,0.02,0.3,,,,,,
5882,Rayman 2: Revolution,PS2,2000.0,Platform,Ubisoft,0.15,0.11,0.0,0.04,0.3,90.0,16.0,8.2,42.0,Ubisoft,E
5883,Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003.0,Action,Atari,0.21,0.08,0.0,0.01,0.3,,,,,,
5884,Super Bomberman 5,SNES,1997.0,Puzzle,Hudson Soft,0.0,0.0,0.3,0.0,0.3,,,,,,
5885,One Piece Unlimited Cruise SP,3DS,2011.0,Action,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,46.0,20.0,7.3,14.0,Bandai Namco Games,
5886,Madden NFL 13,PSV,2012.0,Sports,Electronic Arts,0.28,0.0,0.0,0.02,0.3,63.0,6.0,7.3,38.0,EA Tiburon,E
5887,Army Men: Air Attack 2,PS,2000.0,Action,3DO,0.17,0.11,0.0,0.02,0.3,74.0,8.0,5.3,4.0,3DO,T
5888,NBA Live 2003,GC,,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.3,82.0,11.0,8.2,5.0,EA Canada,E
5889,Stranglehold,PS3,2007.0,Shooter,Midway Games,0.24,0.02,0.0,0.03,0.3,77.0,22.0,7.9,48.0,Midway,M
5890,Pride FC: Fighting Championships,PS2,2003.0,Fighting,THQ,0.15,0.11,0.0,0.04,0.3,73.0,19.0,8.6,7.0,Anchor,M
5891,Eternal Ring,PS2,2000.0,Role-Playing,Ubisoft,0.1,0.07,0.1,0.03,0.3,62.0,13.0,5.3,9.0,From Software,T
5892,Dragon Force,SAT,1996.0,Strategy,Sega,0.0,0.0,0.3,0.0,0.3,,,,,,
5893,Dynasty Warriors 8: Xtreme Legends,PS4,2014.0,Action,Tecmo Koei,0.09,0.11,0.06,0.04,0.3,,,,,,
5894,Resident Evil Archives: Resident Evil,Wii,2008.0,Action,Capcom,0.16,0.04,0.08,0.02,0.3,76.0,11.0,8.9,41.0,Capcom,M
5895,Dynasty Warriors 6,X360,2007.0,Action,Tecmo Koei,0.15,0.06,0.06,0.02,0.3,60.0,42.0,7.4,22.0,Omega Force,T
5896,Silent Hill: Shattered Memories,PSP,2010.0,Action,Konami Digital Entertainment,0.09,0.13,0.01,0.07,0.3,73.0,28.0,7.5,43.0,"Climax Group, Climax Studios",M
5897,Dragon Quest Builders: Revive Alefgard,PSV,2016.0,Role-Playing,Square Enix,0.0,0.0,0.3,0.0,0.3,,,,,,
5898,Winning Post 2,SNES,1995.0,Sports,Tecmo Koei,0.0,0.0,0.3,0.0,0.3,,,,,,
5899,Star Gladiator Episode: I Final Crusade,PS,1996.0,Fighting,Virgin Interactive,0.07,0.05,0.15,0.02,0.3,,,,,,
5900,Dance Dance Revolution Universe 3,X360,2008.0,Simulation,Konami Digital Entertainment,0.28,0.0,0.0,0.02,0.3,65.0,6.0,7.7,7.0,Konami,E
5901,Showdown: Legends of Wrestling,PS2,2004.0,Fighting,Acclaim Entertainment,0.15,0.11,0.0,0.04,0.3,55.0,24.0,6.1,7.0,Acclaim,T
5902,Sword Art Online: Hollow Fragment,PSV,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,67.0,28.0,7.6,131.0,Bandai Namco Games,T
5903,Imagine: Family Doctor,DS,2009.0,Simulation,Ubisoft,0.27,0.01,0.0,0.02,0.3,,,,,Wizarbox,E
5904,Far East of Eden Zero,SNES,1995.0,Role-Playing,Hudson Soft,0.0,0.0,0.3,0.0,0.3,,,,,,
5905,Full Spectrum Warrior,PS2,2005.0,Strategy,THQ,0.15,0.11,0.0,0.04,0.3,74.0,24.0,8.0,13.0,Pandemic Studios,M
5906,Taiko no Tatsujin Wii: Minna de Party * 3-Yome!,Wii,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,,,,,,
5907,The Sims 2: Pets,PS2,2006.0,Simulation,Electronic Arts,0.02,0.01,0.0,0.27,0.3,68.0,27.0,8.0,25.0,Maxis,T
5908,Wacky Races: Crash & Dash,Wii,2008.0,Racing,Eidos Interactive,0.27,0.0,0.0,0.02,0.3,,,,,,
5909,Power Pro Kun Pocket 6,GBA,2003.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.01,0.3,,,,,,
5910,Power Pro Kun Pocket 10,DS,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.3,0.0,0.3,,,,,,
5911,Finding Nemo: The Continuing Adventures,GBA,2004.0,Action,THQ,0.21,0.08,0.0,0.01,0.3,,,,,Altron,E
5912,Spirit: Stallion of the Cimarron,GBA,2002.0,Platform,THQ,0.21,0.08,0.0,0.01,0.3,46.0,5.0,,,Hyperspace Cowgirls,E
5913,The Suite Life of Zack & Cody: Circle of Spies,DS,2007.0,Action,Disney Interactive Studios,0.17,0.09,0.0,0.03,0.3,,,,,,
5914,Future Cop L.A.P.D.,PS,1997.0,Simulation,Electronic Arts,0.16,0.11,0.0,0.02,0.3,,,,,,
5915,MySims Party,DS,2009.0,Simulation,Electronic Arts,0.15,0.12,0.0,0.03,0.3,64.0,9.0,,,EA Games,E
5916,Hamster Tarou,GB,1999.0,Simulation,Jorudan,0.0,0.0,0.3,0.0,0.3,,,,,,
5917,Fist of the North Star: Ken's Rage 2,PS3,2012.0,Fighting,Tecmo Koei,0.0,0.0,0.3,0.0,0.3,49.0,19.0,7.0,19.0,"Koei, Omega Force",M
5918,Shark Tale,GC,2004.0,Action,Activision,0.23,0.06,0.0,0.01,0.3,69.0,23.0,,,Edge of Reality,E
5919,MLB SlugFest Loaded,PS2,2004.0,Sports,Midway Games,0.14,0.11,0.0,0.04,0.3,77.0,30.0,9.5,4.0,Point of View,T
5920,Squinkies,DS,2011.0,Misc,Activision,0.26,0.02,0.0,0.02,0.3,,,,,Human Soft,E
5921,Rapala Pro Bass Fishing 2010,Wii,2010.0,Sports,Activision,0.22,0.05,0.0,0.03,0.3,,,,,FUN Labs,E
5922,Teenage Mutant Ninja Turtles,XB,2003.0,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.3,56.0,22.0,8.4,9.0,Konami,E
5923,Capcom Classics Collection Remixed,PSP,2006.0,Misc,Capcom,0.27,0.0,0.0,0.02,0.3,72.0,37.0,7.0,5.0,Digital Eclipse,T
5924,1701 A.D.,PC,2006.0,Simulation,Deep Silver,0.0,0.25,0.0,0.04,0.3,79.0,30.0,8.3,38.0,Related Designs,E10+
5925,Lego Star Wars: The Force Awakens,XOne,2016.0,Action,Warner Bros. Interactive Entertainment,0.14,0.13,0.0,0.02,0.3,76.0,11.0,7.0,18.0,TT Games,E10+
5926,Little Deviants,PSV,2011.0,Platform,Sony Computer Entertainment,0.14,0.12,0.0,0.04,0.3,57.0,62.0,5.5,53.0,Bigbig Studios,E10+
5927,Spider-Man 3,PSP,2007.0,Platform,Activision,0.01,0.23,0.0,0.05,0.3,52.0,7.0,7.4,9.0,Treyarch,T
5928,AMF Bowling 2004,XB,2003.0,Sports,Mud Duck Productions,0.22,0.06,0.0,0.01,0.3,48.0,6.0,4.4,8.0,,
5929,N3: Ninety-Nine Nights,X360,2006.0,Action,Microsoft Game Studios,0.2,0.02,0.05,0.02,0.3,,,,,,
5930,Scooby-Doo! Night of 100 Frights,GC,2002.0,Platform,THQ,0.23,0.06,0.0,0.01,0.3,,,,,,
5931,Shrek the Third,DS,,Action,Activision,0.26,0.01,0.0,0.02,0.3,70.0,16.0,6.5,4.0,Vicarious Visions,E
5932,Radiant Historia,DS,2010.0,Role-Playing,Atlus,0.19,0.0,0.09,0.01,0.29,85.0,30.0,9.0,81.0,Atlus,E10+
5933,Sorcery,PS3,2012.0,Action,Sony Computer Entertainment,0.14,0.11,0.0,0.05,0.29,70.0,52.0,7.3,57.0,The Workshop,E10+
5934,RealSports Boxing,2600,1986.0,Sports,Atari,0.28,0.02,0.0,0.0,0.29,,,,,,
5935,Imagine: Makeup Artist,DS,2020.0,Simulation,Ubisoft,0.27,0.0,0.0,0.02,0.29,,,,,Ubisoft,E
5936,Harry Potter and the Order of the Phoenix,X360,2007.0,Action,Electronic Arts,0.24,0.03,0.0,0.02,0.29,68.0,38.0,6.8,20.0,EA Games,E10+
5937,Grandia II,PS2,2002.0,Role-Playing,Ubisoft,0.14,0.11,0.0,0.04,0.29,71.0,19.0,8.6,31.0,Game Arts,T
5938,Shaun White Snowboarding: World Stage,Wii,2009.0,Sports,Ubisoft,0.24,0.03,0.0,0.02,0.29,72.0,33.0,8.7,30.0,Ubisoft,E
5939,Spider-Man: Friend or Foe,X360,2007.0,Action,Activision,0.26,0.01,0.0,0.02,0.29,60.0,51.0,6.3,26.0,Next Level Games,E10+
5940,Guitar Hero: Van Halen,X360,2009.0,Misc,Activision,0.16,0.1,0.0,0.03,0.29,57.0,34.0,5.8,17.0,"Neversoft Entertainment, Underground Development",T
5941,Dreamworks Madagascar Kartz,PS3,2009.0,Racing,Activision,0.19,0.07,0.0,0.04,0.29,,,,,Sidhe Interactive,E
5942,Batman: The Brave and the Bold the Videogame,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.23,0.04,0.0,0.02,0.29,74.0,14.0,8.0,8.0,WayForward,E10+
5943,The Sims 2,PC,2004.0,Simulation,Electronic Arts,0.02,0.24,0.0,0.04,0.29,90.0,61.0,8.8,676.0,Maxis,T
5944,Phineas and Ferb Ride Again,DS,2010.0,Action,Disney Interactive Studios,0.24,0.03,0.0,0.02,0.29,,,,,Altron,E
5945,Need for Speed Underground,GBA,2003.0,Racing,Electronic Arts,0.21,0.08,0.0,0.01,0.29,77.0,9.0,8.2,25.0,Pocketeers,E
5946,Def Jam Rapstar,X360,2010.0,Misc,Konami Digital Entertainment,0.25,0.02,0.0,0.02,0.29,74.0,36.0,5.4,9.0,"Terminal Reality, 4mm Games",T
5947,Power Pro Kun Pocket 4,GBA,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.01,0.29,,,,,,
5948,Guardian Heroes,SAT,1995.0,Role-Playing,Sega,0.0,0.0,0.29,0.0,0.29,,,,,,
5949,Outlaw Golf,XB,2002.0,Sports,TDK Mediactive,0.22,0.06,0.0,0.01,0.29,72.0,23.0,6.9,9.0,Simon & Schuster,T
5950,Fisherman's Bait 2: Big Ol' Bass,PS,1999.0,Sports,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.29,,,,,,
5951,MySims SkyHeroes,Wii,2010.0,Action,Electronic Arts,0.16,0.1,0.0,0.03,0.29,67.0,9.0,5.2,5.0,Electronic Arts,E10+
5952,Mini Ninjas,X360,2009.0,Action,Eidos Interactive,0.12,0.14,0.0,0.03,0.29,73.0,44.0,8.4,38.0,Io Interactive,E10+
5953,Lupin the 3rd: Treasure of the Sorcerer King,PS2,2002.0,Adventure,505 Games,0.02,0.02,0.25,0.01,0.29,67.0,16.0,,,Banpresto,T
5954,Disney Infinity,3DS,2013.0,Action,Disney Interactive Studios,0.17,0.1,0.0,0.02,0.29,,,,,,
5955,The LEGO Movie Videogame,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.04,0.19,0.0,0.07,0.29,,,5.6,14.0,TT Games,E10+
5956,Kurohyou: Ryu ga Gotoku Shinshou,PSP,2010.0,Adventure,Sega,0.0,0.0,0.29,0.0,0.29,,,,,,
5957,Ben 10 Alien Force: Vilgax Attacks,PS2,2009.0,Action,D3Publisher,0.11,0.03,0.0,0.15,0.29,,,7.0,4.0,Papaya Studios,E10+
5958,NBA Street V3,GC,2005.0,Sports,Electronic Arts,0.23,0.06,0.0,0.01,0.29,88.0,36.0,8.4,16.0,EA Canada,E
5959,Nicktoons: Battle for Volcano Island,DS,2006.0,Action,THQ,0.27,0.0,0.0,0.02,0.29,59.0,6.0,,,Natsume,E
5960,WinBack: Covert Operations,PS2,2000.0,Shooter,Midas Interactive Entertainment,0.14,0.11,0.0,0.04,0.29,66.0,11.0,7.7,20.0,Omega Force,T
5961,Kagero: Deception II,PS,1998.0,Strategy,Virgin Interactive,0.03,0.02,0.22,0.02,0.29,,,,,,
5962,Syphon Filter: Dark Mirror,PSP,2006.0,Shooter,Sony Computer Entertainment,0.26,0.01,0.0,0.03,0.29,87.0,58.0,9.0,118.0,Sony Bend,M
5963,Jikkyou Powerful Pro Yakyuu 2000 Kaimakuban,PS,2000.0,Sports,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29,,,,,,
5964,Invizimals: Shadow Zone,PSP,2010.0,Strategy,Sony Computer Entertainment,0.05,0.16,0.0,0.08,0.29,,,9.0,4.0,Novarama,E10+
5965,Glory of Heracles,DS,2008.0,Role-Playing,Nintendo,0.19,0.0,0.08,0.01,0.29,69.0,23.0,7.3,18.0,Paon Corporation,E10+
5966,Rabbids: Alive & Kicking,X360,2011.0,Misc,Ubisoft,0.15,0.11,0.0,0.03,0.29,,,,,,
5967,Up,X360,2009.0,Action,THQ,0.2,0.07,0.0,0.03,0.29,61.0,18.0,6.8,6.0,Heavy Iron Studios,E10+
