Row Labels,Sum of QUANTITY (FAILS)
IBDR,178285
MFMS,177968
BYDDY,177953
FCX,177842
IWN,177708
AAXN,177682
LCYAW,177041
OKE,176836
BMTX,176829
MNRLF,176612
FXH,176576
JUST,176482
DHT,176284
ERJ,176183
GCCZZZZ,176167
KEMQ,176141
ILTB,176138
EFAV,175889
PNTZF,175887
VIG,175807
GRNF,175747
IWAL,175715
EXPCW,175557
SDEM,175329
YSACW,175061
MATN,174927
TLTE,174923
AENZ,174748
BOTZ,174467
SCHM,174464
DLPN,174397
EPRT,174351
SHIPZ,174331
REM,174261
VYGGWS,174261
FCSMF,174255
ADRE,173916
STWO,173693
CELH,173516
BSGM,173445
BTU,173241
GV,173124
AEP,173098
CGUD,173045
TRITW,172644
LITB,172641
AXNX,172607
AFLYY,172509
FLSW,172465
TR,172443
CSOC,172317
FXE,172070
VLUE,172040
NTRP,171989
GDS,171823
CBGL,171757
FAS,171697
WXXWY,171640
AVXL,171522
CF,171445
ENPCWS,171145
STICU,171079
HMC,170983
UGP,170948
NERD,170935
SCHH,170773
RIGL,170763
TEN,170761
TSYHY,170689
GLRY,170553
HLPPY,170533
KUKE,170489
PTR,170397
SIPC,170289
NEXA,170243
PTF,170193
TTCFW,170193
LOAK,170037
EMITF,169981
IRTC,169872
AIRC,169738
BUFF,169722
GIX,169361
MYO,169355
IMAX,169301
CYSNF,169281
PIN,169227
EET,169146
DRH,168620
HRTFF,168530
GLBS,168451
KBWY,168377
VNOPRN,168342
RPAY,168283
PLYA,168262
XNCR,168235
SPAK,168227
FNV,168187
OCUL,168080
PLL,168017
DRN,168012
GSUS,167853
PDRDY,167712
THRY,167346
SFYX,167186
LTRX,167141
ATUS,167138
SCHB,167132
GS,167077
RMOWS,167069
GIM,166712
VEGN,166632
CRSP,166322
CVLB,166250
RSVA,166250
SGDJ,166243
XGN,166184
UONEK,166085
OPRA,166060
IGSB,166043
FTXP,166002
OUSA,165877
AQST,165874
SNY,165857
ENLAY,165310
GLDXF,165305
CBON,165119
PBCT,164995
PHICU,164695
PAICW,164676
IFRX,164466
AONE,164104
AGYP,164087
DMLRY,163975
OEC,163751
ATOM,163748
BRPA,163551
KIQ,163453
NSTM,163303
IIIV,163199
SSNT,162878
PTIN,162669
AESR,162525
SMLP,162322
FIXD,162177
MGWFF,161875
PWMRF,161710
HMOP,161651
MIDU,161582
WW,161435
LGHLW,161351
CPWY,161279
ENOR,161099
XPHYF,160990
XNTK,160976
GLW,160972
WELL,160934
SIMS,160881
BLCN,160714
LVS,160595
FJP,160559
GPRO,160468
SPYR,160422
VFVA,160262
USOI,160157
SPCX,160152
DJP,159842
GRNB,159763
HERTF,159608
FERL,159524
PFG,159505
LAZY,158917
GLUU,158690
LQDI,158634
TUESQ,158621
ATXI,158612
CCXWS,158537
SRC,158524
CLIR,158362
MKC,158281
CLPBY,158097
VVNT,158087
PSEP,158062
GNPX,157941
ENGMF,157848
ZEST,157471
BLXX,157317
TMQ,157184
RYAAY,156976
VAR,156950
CRTD,156905
RAIL,156631
PRAX,156492
AOD,156475
ES,156473
CAKE,156412
GXC,156257
PID,156100
AJOY,156041
JMBS,156024
RIII,156011
SUM,155596
CHAU,155577
SIF,155553
VOD,155373
CPB,155282
SGRP,155276
PNCKF,155268
HUSIF,155240
CCC,155144
PTOI,155138
BSTK,155105
PHD,155096
UDOW,155032
SO,154964
WMC,154756
NLTX,154740
ARAY,154515
NTLA,154165
FUSEF,154159
APRN,154006
STTH,153908
ISENF,153798
APG,153664
IMTE,153649
AIG,153607
CVIAQ,153503
CYB,153493
HBIO,153490
FFRMF,153420
FPEI,153363
GWRE,153155
MTZ,153107
BTEGF,153024
SENR,152947
WFHY,152793
MRMD,152535
DXF,152406
FPRX,152311
GOSY,152240
OMTK,152016
CCOR,152001
ENIC,151702
DCTH,151607
EWW,151595
AFIN,151302
HPX,151246
AZUL,151244
AMZA,150960
KDMN,150856
LTGHY,150849
PFWIQ,150807
GBR,150748
SPSO,150583
XSPT,150000
FLJP,149943
DRIOW,149913
HOLX,149867
FAIIWS,149489
TCO,149480
CRNT,149386
IEUS,149380
GCMGW,149357
GRID,149268
ERDCF,149251
INTF,149229
FGEN,149222
DBA,149211
SYRS,149047
FNMAT,148894
CMS,148856
LSAT,148822
VOOG,148797
ECOR,148778
CWBHF,148447
TBXXF,148418
CBDS,148326
PJUL,148207
JCI,148185
KKOYY,148151
ESLOY,148035
APA,147982
HD,147981
NWG,147865
ATCO,147859
FXY,147757
BZUN,147586
PPLT,147482
RKUNY,147482
VONE,147470
PTACW,147390
BAND,147352
KTRA,147002
NAVB,146958
HAL,146956
FANG,146943
DMYIWS,146732
SUP,146694
RPAI,146676
MVBF,146561
WLL,146522
UNIT,146501
FCOM,146416
SITC,145974
DFND,145958
PGJ,145875
PHUNW,145643
BOWX,145576
IJS,145570
EYPT,145358
AYX,145330
GEL,145117
PLGNF,144934
AOIFF,144932
CLM,144926
CEMB,144920
ACAMW,144872
IVZ,144779
JGLDF,144467
SSVRF,144300
EJUL,144294
GWTI,144210
ESEA,144037
NOVA,143859
FATE,143768
GMVMF,143760
PTGEF,143684
USL,143668
CGW,143633
QPX,143616
FTOCU,143607
EVAHF,143593
FMAY,143506
IJH,143421
IBMJ,143359
SVAL,143335
MCBS,143311
GUT,143185
FTSM,143099
USA,143072
ALIZY,143006
CNBX,143002
WHGLY,142968
FREEW,142921
EQ,142860
GCEH,142758
CNST,142750
SYBX,142713
SUZ,142695
RVMD,142623
RAYC,142577
GIS,142554
ZIOP,142475
GWSO,142415
QTRX,142350
IVOO,142343
DNP,142278
PRMRF,142270
KLBAY,142094
JD,142089
WBT,142026
OYST,142008
SQM,141928
COGT,141769
FNNZF,141728
SWAN,141556
VBHI,141530
ICHR,141420
XHE,141390
KMDA,141317
NPAWW,141091
BSCO,140627
IFNNY,140606
PTAC,140467
PULS,140341
PUCCF,140156
WAT,139966
GGN,139875
CYCN,139812
BBGI,139619
LJAQU,139510
OTIS,139502
AMCI,139498
VMAR,139484
GPS,139421
NGENF,139366
HCACW,139262
GORO,139258
OLNCF,139258
ALAC,139216
RFP,139180
NERV,138909
FDMSF,138882
BABL,138851
APOP,138747
SWIR,138664
PSAPRB,138663
OTRA,138648
IMGN,138625
THKLY,138613
PXS,138345
GLOG,138210
BTRS,138169
BLCT,138156
COM,138156
KBWR,138127
WIT,137800
XPH,137783
AXP,137675
SCHW,137637
HBM,137514
UOMO,137399
GGTHF,137359
TAK,137185
CCNC,137168
DURA,136998
CNNXF,136748
INDS,136743
USAU,136675
RZV,136620
KOSK,136484
CVS,136469
SPGI,136346
FEVR,136197
INOD,136009
OCPNY,135940
ECIFY,135761
ATIW,135735
BKE,135667
PSTI,135612
BIPC,135556
FOSL,135553
BUDZ,135439
EDEN,135389
HZAC,135013
RSAU,134916
VCYT,134896
XELB,134720
IEP,134662
TFCPRR,134461
GCEI,134425
ITKG,134401
DNNGY,134385
AIH,134384
MAKOF,134382
IYF,134316
ICF,134076
SRSA,134074
SRACW,134050
GCI,133875
NYMX,133847
FLIR,133808
WEAT,133742
CPRI,133715
DSVMF,133547
SON,133510
VNM,133289
SBGWS,133251
EQR,133235
AGIO,133115
CLNN,133110
BNFT,132999
VONG,132990
HYDB,132987
NSSC,132985
SCKT,132781
WVMDF,132766
HASI,132759
NVG,132725
REXR,132722
GM,132672
WNDW,132655
VGLT,132638
SCPEWS,132543
LDSF,132534
SSET,132503
AOTVF,132450
PRFX,132418
TAXF,132183
IG,132166
KO,132111
FFNW,132086
DISCK,132061
PGHY,131846
PTSC,131790
FNMFM,131741
CRNC,131732
LEE,131713
DOGZ,131712
MCVT,131663
TK,131598
BWA,131557
MSSMY,131525
KNG,131522
LKQ,131239
EPIX,131173
XTNT,131017
ACAC,130916
RWX,130871
CUK,130804
XMLV,130799
KPAY,130787
FNGU,130573
XITK,130520
ELDN,130333
TAALF,130329
SDVY,130301
SFBS,130270
CSFFF,129736
RBA,129672
AM,129527
BICK,129211
GBIO,129151
IBND,129150
BSCU,129078
GNL,128954
AES,128726
CRH,128670
SPLK,128652
KAPR,128413
CMXC,128270
CDLX,128208
GWPH,128202
QQQN,128000
NGAU,127891
K,127861
EASG,127845
GES,127837
SNCR,127798
CAPE,127719
ALVR,127696
TDSE,127678
ESYJY,127644
QLC,127632
NJAN,127604
FITB,127564
SVM,127558
FSXLF,127533
CREG,127490
SLB,127477
ROBO,127420
DBDRW,127403
ABPR,127289
PEY,127106
SWKS,127082
CME,127028
BIDCF,127023
AGFS,126977
XSMO,126950
UOVEY,126838
UCON,126817
AWK,126755
ACTL,126675
IVDG,126553
SNVP,126003
IDLV,125973
TWO,125930
CACG,125924
LUXAU,125888
TOTAW,125832
SY,125674
ELYGF,125672
YACU,125438
EDUT,125410
NBLX,125279
NVAX,125250
PVG,125219
ACER,125191
AFTPY,125186
APWC,124994
ENBL,124959
BRFH,124926
MO,124904
RDEIY,124896
DLN,124731
SMCAY,124690
EFOI,124604
PEYUF,124558
PING,124298
ACWV,124136
KOIN,124033
PSJ,124027
EUSA,123913
FITE,123823
LOOP,123802
HYT,123779
KAOOY,123767
DBEU,123565
PGTK,123560
AGCBF,123559
ESI,123447
HESAY,123364
WTNW,123349
NRG,123326
GSKY,123293
DUSYF,123252
EDTXU,123239
IPOBWS,123239
ADOC,123233
ZCMD,123222
WPX,123036
IUSV,123020
RWCRF,122908
GGAL,122906
BASI,122842
UPWK,122812
WPM,122791
PRIM,122764
DBEM,122709
ULE,122705
CANE,122637
VONOY,122532
CDNO,122450
IVDA,122443
PAE,122412
AKTAF,122386
IBDQ,122313
JAGG,122195
TLDH,122087
BLUU,122076
AMCIW,122041
XBUY,121993
JOSMF,121981
JOYY,121958
LRGF,121898
AGNCP,121893
KLRWS,121813
ICPT,121763
CGNSF,121728
ANH,121718
XYLD,121703
CSUI,121698
TGH,121691
ROYL,121482
NFE,121382
EBLU,121381
RXT,121180
BKLC,121040
OGE,120886
JHME,120832
BNTC,120802
UPST,120798
AMTBB,120772
MWSNF,120724
CRBN,120671
HOMZ,120652
NOCT,120628
NRIX,120599
OOGI,120507
GALT,120473
LODE,120297
AQUA,120238
IEAWW,120194
BDTX,120180
GRMC,120025
WCN,120001
IEV,119824
IYM,119818
SLDB,119811
AGQ,119695
BKN,119691
ADM,119627
NRGU,119570
BLEVF,119332
BPTH,119321
RFV,119249
DFHTU,119028
DMYT,119025
PUPS,119000
RAPT,118895
GPK,118892
SDIV,118845
FDEM,118841
IMPZY,118776
CYBXF,118772
MTLS,118741
QMCI,118697
CDAY,118596
BEN,118267
VNO,118235
ITRG,118179
HQY,118131
MFG,118095
CRUUF,117904
LMPX,117828
GTHX,117777
SPOT,117747
IRBT,117673
BDRY,117564
SPDN,117513
AZBJ,117504
CLUBQ,117466
ALTL,117371
EPOR,117333
FREQ,117211
SUTNY,117181
UEEC,117140
ACRDF,117122
GEENQ,116999
MGLN,116987
FSTX,116956
DNOV,116807
CHTR,116790
ATHM,116757
QSAM,116681
PDYPY,116545
IPGP,116525
APVS,116500
COFPRK,116497
CGIX,116450
PSTH,116393
TEQI,116349
GLEO,116299
AIVZZZZ,116081
WSRC,116029
EOD,116009
HLX,115933
DAC,115789
DIG,115554
BPT,115540
TXG,115479
INTEQ,115345
NZF,115281
HYACW,115259
ARGTF,115216
AVRN,115214
UPRO,115176
REEMF,115151
TKOMY,115147
HSSHF,115053
ALJJ,115036
NOC,114985
SYIEY,114950
NUV,114918
XMMO,114905
CMDY,114705
PRU,114632
CBDY,114582
SMMD,114566
AMGN,114555
JAPSY,114516
GRTS,114470
PMVCWS,114267
ARLP,114264
MTDR,114145
PIO,114139
FTXH,114106
CMF,114073
FIW,113760
SBLK,113712
JCOM,113517
PBCRY,113475
VECO,113368
MICT,113219
DTIL,112914
NVDEF,112823
INTU,112802
EYEN,112689
NDMO,112641
KYMR,112573
FILL,112515
CFG,112387
RWEOY,112373
NMEX,112370
CHIX,112365
SII,112360
BHTG,112338
PPD,112163
ITMSF,112129
NVST,112112
BRUZF,112087
ELF,112055
PFD,112045
PKB,112023
AMEFF,112010
EPZM,111960
NMM,111936
CNFN,111905
IVLU,111837
EPD,111827
SSPY,111826
ASPLWS,111816
DECZ,111769
PRZFF,111758
PTON,111600
JETMF,111364
GSLC,111338
PBDM,111301
VEDL,111212
MNSO,111202
NVUS,111172
CWT,111159
OONEF,111106
CHGG,110797
RFDI,110738
IBDN,110660
LEN,110650
VSTA,110622
GNLN,110583
MOTNW,110561
SVOKU,110403
ABMC,110225
SPYD,110191
GT,110014
GENPF,110000
IIGD,109997
TEL,109852
TMFC,109845
MOR,109682
LBTYA,109675
MCRB,109671
HCAT,109548
FLCB,109519
CTVA,109488
UZA,109445
CI,109444
FLXN,109431
ONVO,109399
MCS,109388
OBCN,109388
SJR,109384
SBH,109327
KWBT,109298
BNKD,109129
LRDC,109046
HYPMY,109025
DUG,109008
CNWT,108930
ICNB,108895
DFCO,108804
FPRGF,108709
MAPT,108700
PBT,108700
SECT,108669
VNE,108624
CBAY,108365
FRFR,108362
AVIR,108353
CXBMF,108347
ARCO,108311
ADCT,107956
JHG,107863
LQWC,107855
NEM,107782
AWAY,107738
PRCHW,107705
ZYME,107700
ENFR,107687
NEBCU,107681
CGHLY,107605
RVNU,107590
SPRQU,107587
CETXW,107518
CARZ,107514
ARA,107509
FIORF,107466
SHAK,107432
AAIRF,107356
ALLY,107347
IHF,107323
FIT,107305
XTGRF,107264
ALST,107211
TPHD,107192
GEAGY,107024
SULR,107024
TOWTF,106963
GRUB,106953
YGYI,106931
URI,106922
MUA,106858
NGLOY,106739
NAVI,106588
LOAKWS,106541
GLL,106531
AVEO,106451
KERNW,106284
CRBTF,106200
XEC,106149
NWDMF,106097
PLXP,105919
VASO,105755
SPTM,105723
MLPA,105694
AUXRF,105521
LGND,105322
STON,105322
KIRK,105188
MDRX,105179
GII,105142
FEI,105127
HOFVW,104935
GBL,104869
ARVN,104824
VIZSF,104790
STPCU,104733
FLYLF,104710
PKW,104665
CLNE,104646
ZMSPF,104608
DMRI,104265
BRPAW,104200
JCPB,104137
EUUNF,104118
IMPXU,104061
OAC,104055
PBND,104035
SCPS,103938
GVP,103908
SPGM,103901
RUTH,103868
TOTA,103862
OCG,103810
HEGD,103561
AVCT,103522
VIXM,103512
SWRAY,103466
ATO,103429
SVGAF,103429
UOCT,103414
FJUN,103379
NUHY,103345
PRMNF,103336
RIDEW,103270
KIGRY,103250
CLSD,103104
PRLD,103094
SCHG,102985
CRYO,102984
BFB,102967
IBBJ,102931
VIOV,102891
RENN,102710
IBD,102692
SCC,102570
CBRE,102527
DGRS,102483
VIOG,102426
TRP,102404
AFTC,102386
CCNCW,102283
AUVI,102277
BIBL,102237
PSCM,102206
TALOWS,102103
BRP,102089
ZDGE,102084
MAS,102037
ONEM,101994
XHS,101994
KMPHD,101922
OUT,101899
BSCM,101852
SFL,101814
BSNWS,101813
HBORF,101770
SKM,101740
WM,101724
EWEB,101722
TOLZ,101695
LYB,101603
DAO,101587
ZSL,101522
DNMRWS,101472
HYXF,101395
CRARY,101389
SYTA,101309
GUNR,101284
DUNEU,101277
BASA,101261
HOG,101192
FNKO,100985
LPL,100962
CATY,100803
MLCO,100774
PBEGF,100743
GWAC,100715
FAX,100697
INBX,100689
HMSY,100534
GGG,100508
AHCO,100466
YDEC,100445
PPGHU,100416
KLDO,100395
SBTX,100332
APLIF,100257
TSOC,100234
PIRGF,100230
BDCO,100172
SAEXQ,100155
DRAD,100029
LOMA,100011
GEECF,99999
IDU,99953
ASLE,99827
NATI,99770
KNGS,99701
CHFW,99692
BFI,99690
EMCB,99635
BCAUY,99615
ACN,99601
OCAWS,99586
PEO,99567
KOAN,99529
CPAH,99528
CHNR,99481
ZGNX,99401
USBPRQ,99310
LNFAU,99197
PVH,99173
KMB,98943
LIFE,98929
LATNW,98891
CRSA,98775
SMSI,98747
SRAFF,98661
TRIB,98639
SPGP,98610
UROV,98589
MFA,98575
SUN,98510
SPYX,98392
HJLIW,98355
EVVTY,98284
QEP,98232
KNWN,98215
SPYC,98200
USB,98183
SCBFY,98103
YAYO,98097
JGLD,98094
LGRDY,98075
XMPT,98073
AUTO,98044
SLY,97929
BXMT,97872
FBP,97854
AAP,97817
SPEU,97732
IMH,97721
HFXI,97611
PLRX,97600
CCHGY,97578
RNVAW,97438
VFH,97426
EXG,97363
SBGSY,97343
TDVG,97322
IDRA,97281
NYCB,97084
BSMN,97048
EVOL,97047
WDC,97041
QDF,96969
INCZY,96932
BIREF,96911
BKLIF,96819
PFFV,96673
SNN,96584
ACRS,96568
SRPT,96481
RY,96450
CONXU,96445
EMSG,96422
EWK,96407
KEY,96380
RJI,96360
ALGM,96306
CNTRF,96187
MDRR,96136
ULST,96121
UPV,96117
MOTO,96096
THW,96030
VGID,95936
DJD,95841
AON,95770
COMB,95768
HTBXZZZZ,95735
NG,95722
UFO,95671
CVSI,95641
GDLC,95640
USSG,95621
MMSI,95573
NNXPF,95546
PHK,95519
IWL,95315
AGEN,95303
FUTY,95264
DVYA,95231
CIGC,95217
NTCO,95151
FDHY,95008
PKTX,94948
AMRX,94882
EEMS,94854
CNNA,94837
FLACU,94826
PROBF,94790
TEO,94745
DMAC,94661
SPRB,94645
LRNZ,94564
AGRX,94540
SSL,94528
HES,94490
THCB,94490
QSWS,94395
CCORF,94296
RPD,94247
TDWWSA,94225
KIDS,94204
PSXP,94015
INMB,94004
SHO,93990
RCMT,93987
SF,93876
XJH,93876
INVH,93843
BTEK,93806
FISV,93804
TNEN,93786
PTAM,93775
MEG,93696
DOFSQ,93637
MCD,93542
FRANQ,93535
KZMYY,93490
CANF,93487
ALEAF,93393
ALNY,93356
POTRF,93234
PUKPR,93212
MOMO,93111
SB,93096
DGRLY,93025
LTMP,93021
GRIL,92967
FSLR,92919
QEMM,92907
CIEN,92845
GBCS,92805
PM,92783
CCXI,92769
TLND,92738
PWWBF,92590
KAVL,92450
GMPR,92365
CWB,92332
DQWS,92296
BHFAN,92242
PIAIWS,92219
VCVCU,92190
AVMU,92179
MYMX,92142
NXEN,92066
WMG,91915
FLIA,91891
HON,91857
BKEM,91792
USGDF,91763
MUR,91741
SOXX,91694
VNRX,91685
OSCI,91666
BSM,91642
SNPW,91610
MFEM,91598
GLGDF,91582
BGH,91569
IRIX,91496
BXP,91460
NTAP,91442
EQT,91423
TGOPY,91336
VEGYF,91309
FSRWS,91307
BZTG,91306
CURR,91303
AKTX,91248
MPUCF,91218
EMBR,91213
HYMCZ,91188
BAMI,91101
BHSEU,91100
GTLS,91099
GH,91076
WY,91068
AUSF,91033
IHT,91029
DKILY,91025
MUST,90844
DSACW,90802
CFR,90782
CHXMF,90776
GNTOF,90768
GOF,90725
AONEWS,90659
EFO,90598
FLKR,90592
MLND,90571
AB,90512
BMRN,90474
SMM,90470
GEVI,90428
TEKK,90426
ROCC,90416
EVBG,90386
BST,90169
LTL,90168
ETHO,90125
JBSAY,90109
RRC,90104
ETSY,89930
FCOR,89928
SSNC,89822
TTTSF,89787
TALO,89686
ECLN,89563
CARV,89447
MDGL,89408
HOLD,89358
AFL,89356
MYHI,89325
KAJMY,89278
ATEC,89268
DDS,89252
LOUP,89144
LBAY,89116
ADVM,89113
FEDU,89086
FAUG,89082
FIZZ,89068
FANUY,89038
AVT,89014
VTC,88993
BPMP,88960
MNOV,88905
MAGS,88896
CIF,88894
EGLPF,88827
AXDX,88815
IPCIF,88795
QVAL,88789
CMLS,88775
GTGED,88768
IBMO,88741
CEMI,88692
SHSP,88488
BWAC,88409
BPUZF,88312
SFM,88272
SKHSY,88235
SWCH,88235
FMANF,88221
PCRX,88208
GSPH,88200
ARGQ,88025
RSCZF,88015
TLTZY,87884
PBS,87857
PRPL,87787
IMV,87734
ENPH,87627
SCYX,87464
NMRK,87412
ERESU,87396
FDCT,87371
AIMH,87351
JVAL,87341
AVIG,87267
IZNN,87208
CNYCF,87201
DFJ,87199
RFIL,87137
NINE,87118
CMU,87104
OIIM,86980
HLDCY,86970
PSMD,86959
SRSAW,86959
PLSE,86936
QLD,86934
PSI,86899
CLCT,86817
NXST,86716
AMAZ,86684
CAIXY,86664
EQTRF,86657
TDG,86657
CMCL,86542
NPTX,86502
DYNT,86492
ARLO,86432
ANDAW,86296
MINT,86294
ALT,86287
MFAC,86187
BGRN,86177
EAF,86152
ALEC,86130
LADFF,86106
BRNE,86045
IBML,86023
CHS,86006
STWD,85976
JUPW,85972
LEGR,85932
PFLD,85868
TGLO,85859
RNLSY,85771
LUVU,85767
HCA,85735
IIACWS,85718
TRHC,85713
IVOV,85652
PZA,85646
VIST,85624
SQEW,85560
VAW,85530
PETZ,85524
WSR,85512
HROW,85507
DEN,85450
MACK,85433
FTSD,85387
VRCFF,85374
AT,84989
DLY,84844
IACAWS,84758
VGT,84734
CSTL,84710
XCEM,84667
SMME,84643
LULU,84548
TBLTW,84536
NUDM,84524
PSO,84509
ETM,84502
PRMW,84488
CQP,84472
MXI,84434
MLAC,84425
CVNA,84417
NLBS,84405
DLAKY,84302
EYESW,84293
UMICY,84283
GECC,84267
PACXU,84200
SNPRU,84108
IWR,83952
SYNH,83940
MRAD,83913
DGDM,83908
LFTRU,83900
TMASF,83840
BCEKF,83675
PUBGY,83665
AVCNF,83585
PHG,83580
KRYAY,83577
SWBI,83557
VOC,83529
IO,83387
MLM,83339
AKBA,83182
AZEK,83182
FFTI,83147
TMO,83118
STTK,83072
LICH,83043
CLPS,83004
GGBXF,82923
RYE,82904
CDE,82894
BEAT,82846
PWZ,82845
TLTD,82788
FIOGF,82786
BUROF,82764
BA,82707
DBD,82699
NCNA,82654
DVOL,82649
SLCA,82630
OACWS,82596
CBGH,82548
SKYY,82526
BKH,82523
IGLB,82520
RPLAWS,82508
ESEB,82486
HDVY,82404
HTTI,82364
CYAP,82336
NEWT,82330
GVDNY,82302
EUDG,82286
LEU,82263
AHACU,82224
JKL,82207
AFK,82194
LAIX,82156
SE,82089
VHC,82062
SPPP,82024
ABST,82016
WBND,81956
CIBEY,81922
AOK,81705
RHI,81645
MTG,81642
PPL,81555
AEPPL,81547
XYF,81510
UBOT,81468
RSIWS,81438
CKHUY,81398
EDD,81388
MYAGF,81348
DPSGY,81341
ATSG,81281
PSA,81256
DRRX,81249
MPXOF,81225
INM,81165
RNG,81137
MYOV,81105
DOCU,81072
CLGCF,80975
IGACU,80967
CNSUF,80860
SALT,80827
SMMU,80811
OMFL,80750
NNGRY,80673
ILMN,80654
JOF,80559
AAVMY,80504
TEZNY,80473
LLY,80421
EDNMY,80390
XAN,80294
INFI,80187
SBRA,80135
AROC,80096
MITO,80009
PAQCU,80000
ISTB,79902
RIBS,79871
SHLDQ,79871
ALVOF,79795
DRD,79744
WEI,79734
SAIL,79683
VIOT,79621
PEB,79586
DMLP,79493
HYDW,79490
FCNCP,79457
HKIB,79413
GILT,79375
VITFF,79307
SHC,79268
SPFYF,79208
FMCCN,79073
HIE,79068
LB,79065
WCIG,79057
MLYCF,79032
WRK,79025
FDN,78940
MYGN,78933
GWTNF,78910
VMNT,78888
DGNRWS,78866
BAK,78811
CRHCU,78802
FENC,78735
JKH,78574
CBSE,78507
ITA,78409
IBMM,78389
SHOP,78366
GOEX,78359
NDENF,78159
MFIN,78060
DALT,77985
XEBEF,77961
AHTPRD,77935
SALM,77919
GABC,77906
MCARY,77904
SHGY,77800
CHGI,77756
IYT,77702
KZIA,77627
FM,77625
GRCY,77575
CAPTF,77547
RUSL,77442
TRI,77431
FCN,77411
CTAQU,77400
CDXS,77397
NEEPRP,77344
GDYN,77323
HDV,77292
MPLX,77277
MTHRY,77239
BFRA,77158
NID,77149
ENZL,77036
KMX,77033
BRGPRA,77024
PAR,77024
JAMF,76985
SIXA,76949
KOCT,76894
CAPR,76882
DDM,76864
MDB,76856
GSST,76830
JAN,76822
KW,76729
YNDX,76704
QRVO,76684
DGNRU,76658
SPNRF,76653
CTTAY,76631
QLV,76599
MBYMF,76592
UYG,76326
BSCR,76311
BME,76289
INKM,76283
DUK,76216
PSMB,76210
PPERY,76176
HIO,76163
XOGAQ,76093
ICLTF,76041
CERE,75984
RDHL,75984
MPWS,75961
TTLTF,75958
ETHOF,75957
REML,75923
EGLE,75897
CINF,75853
SBUX,75700
PYZ,75644
PNNT,75616
TDV,75599
XP,75590
SBVRF,75583
ATACU,75554
LEXX,75514
VIAV,75512
PTKWS,75485
THNQ,75470
DSDVY,75433
LWLG,75353
SXYAY,75297
FCTR,75224
IFGL,75161
KLAQU,75157
HALO,75134
BOND,75129
ELY,75008
ATHPRA,74996
FLRN,74943
IYK,74901
NEV,74864
MLFB,74792
IJJ,74776
QLTA,74544
JKSM,74522
PJAN,74477
WB,74393
PLD,74343
IGOV,74322
APLS,74313
PFXF,74299
THCBU,74287
GLG,74192
JHSC,74168
PDN,74141
MEXGF,74086
EZJ,74026
CO,74017
OSUR,74014
IVW,73988
PETV,73987
CEIX,73925
PHIOW,73895
ALLE,73893
VVR,73833
AAGIY,73812
ARNGF,73801
OZK,73766
CSR,73722
CRK,73664
A,73621
ABR,73559
AAOI,73524
CURIW,73389
PPT,73319
IPMLF,73291
DHCC,73251
AOR,73067
CNDT,73065
IGEB,72921
DCPH,72839
PHAT,72817
IPUB,72798
GLP,72744
VPRB,72720
FNB,72635
KULR,72625
SGH,72612
GMND,72531
BJK,72469
BBEU,72417
LOACW,72396
CDNS,72339
SYNA,72337
QQH,72231
GIGB,72221
DMRC,72156
OTRK,72142
MTOR,72141
VMD,72138
DRV,72115
PSHG,71988
BP,71984
CD,71941
SGU,71935
RCGCF,71921
IIVI,71918
GSMGW,71905
DSOC,71833
XEL,71718
FJTSY,71712
OXLC,71684
VICR,71667
WLDBF,71536
ISBC,71497
UTF,71476
TWNK,71454
HMI,71441
WCEXF,71404
MTNOY,71398
RVNC,71381
HNW,71362
RCM,71258
RCAT,71130
JETR,71119
VRCA,71076
RESS,71067
MD,71054
PSP,70991
HSRT,70953
UFEB,70926
KIM,70868
ERYP,70848
RWR,70816
BBU,70786
VXZ,70757
LVWD,70687
EXN,70661
UCLE,70597
VLDRW,70544
OTRAU,70523
OCDDY,70435
GHYG,70325
ASAQU,70273
TZPC,70257
AANXXXX,70221
AMXEF,70183
RJN,70152
XENE,70126
KRRGF,70113
SI,70090
URVNF,70000
GBLTF,69924
BELP,69870
VNLA,69860
WYNMY,69830
MVO,69821
MUNI,69812
SCVX,69808
SDGR,69787
PBYI,69786
SMID,69729
AINC,69711
BKIE,69608
VDE,69369
RPV,69362
DEUS,69325
ARXRF,69316
NFLX,69308
OVB,69255
EDN,69238
URLOF,69224
TTM,69189
TBPH,69179
PUGOY,69174
CAXPF,69160
SBOX,69112
NEO,69079
CLRO,69071
FOX,69070
TGRW,69043
RXN,69031
MGTA,69020
PAVMZ,68974
CM,68943
RVXCF,68939
DPG,68938
SPVU,68922
CORR,68762
ONB,68589
EUM,68586
BYSI,68559
PEAK,68556
LDUR,68488
GLEOWS,68482
ONEY,68418
MBII,68364
BASFY,68328
ALMTF,68310
BKK,68276
GRBX,68255
SPFF,68148
PDI,68130
LGLWS,68108
EPS,68100
MONDY,68085
JT,68049
XFLT,68046
FUSN,67967
MORF,67946
BUR,67900
DTSS,67873
FTHY,67840
KFS,67787
SRVR,67764
SCHJ,67741
BBIG,67724
ORCL,67596
BKTPF,67585
ONCS,67516
ACCYY,67507
PDP,67417
SOXL,67361
NKTR,67330
HECCW,67193
DXC,67140
EYPTZZZZ,67135
DENI,67123
FL,67048
EGAN,67041
EXPI,66983
FLEH,66982
PEG,66977
ACFN,66962
IMII,66844
TCMD,66844
YUM,66739
NMIH,66731
GAL,66593
IAC,66581
HCSG,66572
RVLGF,66557
KEYS,66501
